,Unnamed: 0,location,dates,license,description,tags,views,comments,text_final
4183,651,"新竹縣, 台灣",2019-04-01 16:35:04,1.0,[],[],0.0,0.0,[]
4184,652,"新竹縣, 台灣",2019-03-28 16:33:55,1.0,[],[],2.0,0.0,[]
4191,659,Philadelphia,2019-10-25 17:40:17,1.0,"['in', 'cities', 'across', 'the', 'u.s.', ',', 'oct', '25', 'actions', 'will', 'be', 'calling', 'on', 'greyhound', 'to', 'stop', 'collaborating', 'with', 'ice', '!', 'everyday', 'across', 'the', 'u.s.', ',', 'ice', ',', 'dhs', 'and', 'border', 'patrol', 'agents', 'board', 'buses', 'with', 'greyhound', ""'s"", 'permission', 'and', 'attempt', 'to', 'detain', 'migrants', '.', 'we', 'demand', 'greyhound', 'end', 'all', 'collaboration', 'with', 'ice', 'and', 'border', 'patrol', '.', 'greyhound', 'is', 'not', 'required', 'to', 'allow', 'immigration', 'agents', 'onto', 'it', ""'s"", 'buses', 'and', 'should', 'stop', 'all', 'collaboration', 'immediately', '.', 'buses', 'are', 'for', 'transportation', ',', 'not', 'deportation', '!', 'to', 'bus', 'passengers', '&', 'amp', ';', 'drivers', ':', 'ice', ',', 'dhs', 'and', 'border', 'patrol', 'agents', 'have', 'no', 'right', 'to', 'board', 'buses', '&', 'amp', ';', 'ask', 'about', 'immigration', 'status', '.', 'if', 'agents', 'board', 'your', 'bus', ',', 'it', ""'s"", 'ok', 'to', 'speak', 'up', 'for', 'yourself', 'and', 'others', ',', 'if', 'you', 'feel', 'safe', '.', 'you', 'can', 'say', ':', '&', 'quot', ';', 'ice', 'has', 'no', 'right', 'to', 'do', 'this', '!', 'ice', 'has', 'no', 'warrants', '!', 'you', 'do', ""n't"", 'have', 'to', 'show', 'your', 'id.', '&', 'quot', ';', 'call', 'greyhound', '(', '2148498966', ')', 'and', 'tell', 'them', ':', 'ice', ',', 'dhs', 'and', 'border', 'patrol', 'off', 'our', 'buses', '.', 'buses', 'are', 'for', 'transportation', ',', 'not', 'deportation', '!', 'ice', 'fuera', 'de', 'nuestros', 'autobuses', '¡termina', 'la', 'colaboración', 'de', 'greyhound', 'con', 'ice', '!', 'cierra', 'los', 'campamentos', 'abolir', 'a', 'ice', 'termina', 'la', 'guerra', 'contra', 'los', 'migrantes', 'called', 'by', 'the', 'workers', 'solidarity', 'network', '-', 'philadelphia']","['Greyhound', 'ICE', 'immigration', 'migrants', 'deportations']",157.0,0.0,"['city', 'across', 'oct', 'action', 'call', 'greyhound', 'stop', 'collaborate', 'ice', 'everyday', 'across', 'ice', 'dhs', 'border', 'patrol', 'agent', 'board', 'bus', 'greyhound', 'permission', 'attempt', 'detain', 'migrant', 'demand', 'greyhound', 'end', 'collaboration', 'ice', 'border', 'patrol', 'greyhound', 'require', 'allow', 'immigration', 'agent', 'onto', 'bus', 'stop', 'collaboration', 'immediately', 'bus', 'transportation', 'deportation', 'bus', 'passenger', 'amp', 'driver', 'ice', 'dhs', 'border', 'patrol', 'agent', 'right', 'board', 'bus', 'amp', 'ask', 'immigration', 'status', 'agent', 'board', 'bus', 'ok', 'speak', 'others', 'feel', 'safe', 'say', 'quot', 'ice', 'right', 'ice', 'warrant', 'show', 'quot', 'call', 'greyhound', 'tell', 'ice', 'dhs', 'border', 'patrol', 'bus', 'bus', 'transportation', 'deportation', 'ice', 'fuera', 'de', 'nuestros', 'autobus', 'la', 'colaboración', 'de', 'greyhound', 'con', 'ice', 'cierra', 'los', 'campamentos', 'abolir', 'ice', 'termina', 'la', 'guerra', 'contra', 'los', 'migrantes', 'call', 'worker', 'solidarity', 'network', 'philadelphia']"
4204,672,Russia,2019-10-22 10:03:24,1.0,"['22', 'октября', '2019', 'года']",[],24.0,0.0,"['октября', 'года']"
4213,681,"台北, 台灣",2019-10-25 10:29:46,1.0,[],[],2.0,0.0,[]
4253,721,"Arlington, USA",2019-10-25 14:19:01,1.0,"['amsterdam', ',', 'netherlands']","['2019', 'Netherlands', 'Amsterdam', 'Red Light District']",81.0,0.0,"['amsterdam', 'netherlands']"
4256,724,"Alsace, France",2019-11-16 12:22:17,1.0,"['la', 'petite', 'poulette', '!']",['* PHOTO ROBERT CROSNIER'],1136.0,4.0,"['la', 'petite', 'poulette']"
4257,725,"Newark, USA",2019-11-09 12:22:20,1.0,"['captured', 'at', 'charleston', 'cory', '2020', 'office', 'in', 'north', 'charleston', ',', 'south', 'carolina', ',', 'usa', '—', 'settings', ':', 'camera', ':', 'ilce-9', ',', 'focal', 'length', ':', '24mm', ',', 'ss', ':', '1/500', ',', 'aperture', ':', 'f/5.6', ',', 'iso', ':', '100', ',', 'flash', ':', 'off', '—', 'by', 'kevin', 'lowery']","['A7', 'A9', 'Conversation with Cory', 'Cory Booker', 'Democratic Candidate for President', 'Democratic Party', 'Justice for All', 'Kevin Lowery', 'Presidential Primary', 'Sony A7', 'Sony A9']",140.0,0.0,"['capture', 'charleston', 'cory', 'office', 'north', 'charleston', 'south', 'carolina', 'usa', 'setting', 'camera', 'focal', 'length', 's', 'aperture', 'iso', 'flash', 'kevin', 'lowery']"
4260,728,"Victoria, Canada",2019-11-14 22:47:24,1.0,"['photo', 'by', 'kolin', 'toney']","['db2019', 'desert bus', 'desert bus for hope']",728.0,0.0,"['photo', 'kolin', 'toney']"
4262,730,Spain,2019-11-14 09:24:28,1.0,"['credits', 'uclg_cglu']",[],46.0,0.0,['credit']
4265,733,Spain,2019-11-13 15:05:59,1.0,"['credits', 'jeffrey', 'abrahams', ',', 'sce', 'productions', '.']",[],34.0,0.0,"['credit', 'jeffrey', 'abraham', 'sce', 'production']"
4266,734,Spain,2019-11-13 15:23:17,1.0,"['credits', 'jeffrey', 'abrahams', ',', 'sce', 'productions', '.']",[],35.0,0.0,"['credit', 'jeffrey', 'abraham', 'sce', 'production']"
4273,741,"Ypsilanti, Michigan, USA",2019-11-13 12:07:07,1.0,"['two', 'days', 'after', 'our', 'first', 'big', 'snow', 'of', 'the', 'year', ',', 'we', 'had', 'another', 'nice', 'sunny', 'day', 'in', 'ann', 'arbor', '.', 'it', 'is', 'very', 'strange', 'that', 'this', 'early', 'snowstorm', 'has', 'not', 'melted', 'already', '.', 'but', 'it', 'got', 'colder', 'today', '-', 'but', 'should', 'be', 'nicer', 'tomorrow', '.', 'nice', 'day', 'for', 'squirrel', 'watching', 'on', 'campus', '.', 'i', 'am', 'fairly', 'certain', 'that', 'i', 'saw', 'peter', 'la', 'fleur', 'of', 'the', 'dodgeball', 'quartet', 'over', 'in', 'the', 'law', 'quad', '.', 'he', 'is', 'looking', 'very', 'good', '.', 'i', 'was', 'able', 'to', 'tell', 'that', 'it', 'was', 'him', 'because', 'of', 'his', 'tail', 'which', 'was', 'still', 'somewhat', 'bald', '.', 'if', 'this', 'is', 'peter', 'lafleur', ',', 'i', 'am', 'really', 'happy', 'with', 'the', 'progress', '.', 'taken', 'on', 'wednesday', 'november', '13th', ',', '2019', '.']","['Go Blue Squirrels', 'Squirrels', 'Fox Squirrels', 'Eastern Fox Squirrels', 'Michigan Fox Squirrels', 'University of Michigan Fox Squirrels', 'Ann Arbor', 'Michigan', 'Animal', 'Campus', 'University of Michigan', 'UMSquirrels11132019', 'Autumn', 'Fall', 'Eating', 'Peanuts', 'November_UMSquirrel', 'Juvenile Squirrels', 'Juvenile Fox Squirrels', 'Juveniles', 'Snowing', 'Snow', 'Snow Storm', 'Snowy Squirrels', 'Mange', 'Squirrel Mange', 'Squirrel Treatment', 'Peter La Fleur']",147.0,0.0,"['two', 'day', 'first', 'big', 'snow', 'year', 'another', 'nice', 'sunny', 'day', 'ann', 'arbor', 'strange', 'early', 'snowstorm', 'melt', 'already', 'get', 'colder', 'today', 'nice', 'tomorrow', 'nice', 'day', 'squirrel', 'watch', 'campus', 'fairly', 'certain', 'saw', 'peter', 'la', 'fleur', 'dodgeball', 'quartet', 'law', 'quad', 'look', 'good', 'able', 'tell', 'tail', 'still', 'somewhat', 'bald', 'peter', 'lafleur', 'really', 'happy', 'progress', 'take', 'wednesday', 'november']"
4286,754,"Zurich, Switzerland",2019-10-28 16:47:07,1.0,"['photo', 'by', 'laura', 'simonetto', ',', 'amazee', 'labs']","['DrupalConEur', 'DrupalCon', 'DrupalConAmsterdam', 'Amsterdam']",148.0,0.0,"['photo', 'laura', 'simonetto', 'amazee', 'lab']"
4287,755,"台北, 台灣",2019-11-12 12:09:09,1.0,[],[],0.0,0.0,[]
4301,769,"Nanaimo, BC, Canada",2019-10-21 10:45:06,1.0,"['olympus', 'digital', 'camera']","['Alhambra', 'Andalucia', 'Day 6', 'Gabriola Cycle and Kayak', 'GCK', 'Granada', 'Spain', 'UNESCO']",22.0,0.0,"['olympus', 'digital', 'camera']"
